ADM1_EN,ADM1_PCODE,State,Hazards,Conflicts,Outbreaks,Response_Need
Abyei PCA,SD19,Abyei PCA,12598.75,0,0,12598.75
Aj Jazirah,SD15,Aj Jazirah,34791.25,0,1105,34791.25
Blue Nile,SD08,Blue Nile,24080,2507,2237,24080
Central Darfur,SD06,Centeral Darfur ,14432.5,75000,5166,75000
East Darfur,SD05,East Darfur ,7138.75,187.75,1628,7138.75
Gedaref,SD12,Gedaref,32164.75,0,4095,32164.75
Kassala,SD11,Kassala,34485,0,13128,34485
Khartoum,SD01,Khartoum,35763.75,6000,0,35763.75
North Darfur,SD02,North Darfur,34812.5,75000,1316,75000
North Kordofan,SD13,North Kordofan,12938.75,813,33,12938.75
Northern,SD17,Northern State ,10980,0,0,10980
Red Sea,SD10,Red Sea,20028.75,0,21,20028.75
River Nile,SD16,River Nile ,19881.25,0,0,19881.25
Sennar,SD14,Sennar,34541.25,0,6233,34541.25
South Darfur,SD03,South Darfur ,8631.25,34518.25,15010,34518.25
South Kordofan,SD07,South Kordofan,1990,12496.25,0,12496.25
West Darfur,SD04,West Darfur ,21917.5,94000,3215,94000
West Kordofan,SD18,West Kordofan ,25425,9449.75,8278,25425
White Nile,SD09,White Nile ,74205,70,6241,74205
